14:35:57, Iteration_20190612_14_34_17,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.38 secs, TIME TO CONNECT: 11.02 secs, TIME TO PAIR: 4.49 secs, 
14:37:42, Iteration_20190612_14_36_01,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.62 secs, TIME TO CONNECT: 11.15 secs, TIME TO PAIR: 7.88 secs, 
14:39:23, Iteration_20190612_14_37_46,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 10.88 secs, TIME TO CONNECT: 9.8 secs, TIME TO PAIR: 1.79 secs, 
14:40:59, Iteration_20190612_14_39_27,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.87 secs, TIME TO CONNECT: 10.69 secs, TIME TO PAIR: 1.54 secs, 
14:41:41, Iteration_20190612_14_41_03,  Unpaired, <OTHER ERROR>, , , , 
14:43:21, Iteration_20190612_14_41_47,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.98 secs, TIME TO CONNECT: 11.99 secs, TIME TO PAIR: 4.11 secs, 
14:44:02, Iteration_20190612_14_43_25,  Unpaired, <OTHER ERROR>, , , , 
14:45:40, Iteration_20190612_14_44_07,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 1.83 secs, TIME TO CONNECT: 10.09 secs, TIME TO PAIR: 4.3 secs, 
14:47:24, Iteration_20190612_14_45_45,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 6.44 secs, TIME TO CONNECT: 15.19 secs, TIME TO PAIR: 1.54 secs, 
14:48:58, Iteration_20190612_14_47_28,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.95 secs, TIME TO CONNECT: 11.42 secs, TIME TO PAIR: 3.55 secs, 
14:50:44, Iteration_20190612_14_49_03,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.59 secs, TIME TO CONNECT: 10.83 secs, TIME TO PAIR: 3.99 secs, 
14:52:38, Iteration_20190612_14_50_48,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 6.51 secs, TIME TO CONNECT: 16.24 secs, TIME TO PAIR: 0.91 secs, 
14:54:26, Iteration_20190612_14_52_42,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 10.69 secs, TIME TO CONNECT: 12.74 secs, TIME TO PAIR: 1.64 secs, 
14:56:05, Iteration_20190612_14_54_30,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.08 secs, TIME TO CONNECT: 9.91 secs, TIME TO PAIR: 3.45 secs, 
14:57:50, Iteration_20190612_14_56_09,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.73 secs, TIME TO CONNECT: 16.31 secs, TIME TO PAIR: 4.1 secs, 
14:59:30, Iteration_20190612_14_57_54,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 6.49 secs, TIME TO CONNECT: 12.57 secs, TIME TO PAIR: 1.62 secs, 
15:01:05, Iteration_20190612_14_59_34,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.44 secs, TIME TO CONNECT: 7.12 secs, TIME TO PAIR: 3.98 secs, 
15:04:26, Iteration_20190612_15_01_09,  ### VERIFICATION FAILED :: + click on HP Sprocket Select (01:C2), <FAILURE>, TIME TO SCAN: 1.93 secs, , , 
15:06:10, Iteration_20190612_15_04_32,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.94 secs, TIME TO CONNECT: 7.76 secs, TIME TO PAIR: 3.79 secs, 
15:07:48, Iteration_20190612_15_06_15,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.94 secs, TIME TO CONNECT: 9.24 secs, TIME TO PAIR: 3.8 secs, 
15:09:33, Iteration_20190612_15_07_53,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 7.89 secs, TIME TO CONNECT: 16.22 secs, TIME TO PAIR: 3.57 secs, 
15:11:22, Iteration_20190612_15_09_37,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 7.09 secs, TIME TO CONNECT: 11.2 secs, TIME TO PAIR: 7.84 secs, 
15:14:02, Iteration_20190612_15_11_27,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 10.44 secs, TIME TO CONNECT: 7.86 secs, TIME TO PAIR: 64.78 secs, 
15:15:38, Iteration_20190612_15_14_07,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.07 secs, TIME TO CONNECT: 10.15 secs, TIME TO PAIR: 4.35 secs, 
15:18:14, Iteration_20190612_15_15_43,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.94 secs, TIME TO CONNECT: 6.97 secs, TIME TO PAIR: 69.17 secs, 
15:19:55, Iteration_20190612_15_18_19,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 6.03 secs, TIME TO CONNECT: 7.22 secs, TIME TO PAIR: 7.37 secs, 
15:21:31, Iteration_20190612_15_19_59,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 1.01 secs, TIME TO CONNECT: 8.7 secs, TIME TO PAIR: 7.84 secs, 
15:23:20, Iteration_20190612_15_21_35,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 9.91 secs, TIME TO CONNECT: 15.57 secs, TIME TO PAIR: 1.74 secs, 
15:25:00, Iteration_20190612_15_23_25,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.45 secs, TIME TO CONNECT: 6.45 secs, TIME TO PAIR: 8.12 secs, 
15:26:32, Iteration_20190612_15_25_04,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 1.39 secs, TIME TO CONNECT: 9.69 secs, TIME TO PAIR: 4.65 secs, 
15:28:14, Iteration_20190612_15_26_36,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.59 secs, TIME TO CONNECT: 8.55 secs, TIME TO PAIR: 6.56 secs, 
15:29:56, Iteration_20190612_15_28_18,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.66 secs, TIME TO CONNECT: 13.77 secs, TIME TO PAIR: 5.44 secs, 
15:31:42, Iteration_20190612_15_30_01,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 8.19 secs, TIME TO CONNECT: 15.5 secs, TIME TO PAIR: 3.79 secs, 
15:33:14, Iteration_20190612_15_31_46,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.65 secs, TIME TO CONNECT: 7.75 secs, TIME TO PAIR: 1.72 secs, 
15:34:49, Iteration_20190612_15_33_18,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.64 secs, TIME TO CONNECT: 7.39 secs, TIME TO PAIR: 3.81 secs, 
15:36:27, Iteration_20190612_15_34_54,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 4.5 secs, TIME TO CONNECT: 7.15 secs, TIME TO PAIR: 3.91 secs, 
15:38:03, Iteration_20190612_15_36_32,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.99 secs, TIME TO CONNECT: 15.25 secs, TIME TO PAIR: 3.58 secs, 
15:39:44, Iteration_20190612_15_38_07,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 4.94 secs, TIME TO CONNECT: 9.77 secs, TIME TO PAIR: 7.69 secs, 
15:41:37, Iteration_20190612_15_39_49,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 6.72 secs, TIME TO CONNECT: 20.21 secs, TIME TO PAIR: 4.49 secs, 
15:43:10, Iteration_20190612_15_41_42,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.94 secs, TIME TO CONNECT: 9.54 secs, TIME TO PAIR: 1.94 secs, 
15:44:43, Iteration_20190612_15_43_15,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.28 secs, TIME TO CONNECT: 8.05 secs, TIME TO PAIR: 3.69 secs, 
15:46:13, Iteration_20190612_15_44_48,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 1.29 secs, TIME TO CONNECT: 5.95 secs, TIME TO PAIR: 1.66 secs, 
15:48:16, Iteration_20190612_15_46_18,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 19.94 secs, TIME TO CONNECT: 17.34 secs, TIME TO PAIR: 4.46 secs, 
15:50:04, Iteration_20190612_15_48_21,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.72 secs, TIME TO CONNECT: 15.14 secs, TIME TO PAIR: 8.11 secs, 
15:51:49, Iteration_20190612_15_50_09,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.63 secs, TIME TO CONNECT: 12.77 secs, TIME TO PAIR: 4.22 secs, 
15:54:18, Iteration_20190612_15_51_53,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.94 secs, TIME TO CONNECT: 5.5 secs, TIME TO PAIR: 65.39 secs, 
15:56:00, Iteration_20190612_15_54_23,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 6.05 secs, TIME TO CONNECT: 8.11 secs, TIME TO PAIR: 7.04 secs, 
15:57:46, Iteration_20190612_15_56_05,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 4.11 secs, TIME TO CONNECT: 12.37 secs, TIME TO PAIR: 7.27 secs, 
15:59:23, Iteration_20190612_15_57_51,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.99 secs, TIME TO CONNECT: 6.21 secs, TIME TO PAIR: 10.93 secs, 
16:02:53, Iteration_20190612_15_59_28,  ### VERIFICATION FAILED :: + click on HP Sprocket Select (01:C2), <FAILURE>, TIME TO SCAN: 5.36 secs, , , 
16:06:28, Iteration_20190612_16_02_59,  ### VERIFICATION FAILED :: + click on HP Sprocket Select (01:C2), <FAILURE>, TIME TO SCAN: 3.84 secs, , , 
16:09:27, Iteration_20190612_16_06_34,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 16.14 secs, TIME TO CONNECT: 9.01 secs, TIME TO PAIR: 66.08 secs, 
16:11:02, Iteration_20190612_16_09_31,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.34 secs, TIME TO CONNECT: 8.89 secs, TIME TO PAIR: 4.21 secs, 
16:12:48, Iteration_20190612_16_11_07,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 6.84 secs, TIME TO CONNECT: 13.99 secs, TIME TO PAIR: 1.94 secs, 
16:14:21, Iteration_20190612_16_12_53,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.96 secs, TIME TO CONNECT: 8.42 secs, TIME TO PAIR: 3.59 secs, 
16:15:53, Iteration_20190612_16_14_26,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.93 secs, TIME TO CONNECT: 10.2 secs, TIME TO PAIR: 3.6 secs, 
16:17:31, Iteration_20190612_16_15_58,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.95 secs, TIME TO CONNECT: 9.18 secs, TIME TO PAIR: 3.9 secs, 
16:19:15, Iteration_20190612_16_17_35,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 9.69 secs, TIME TO CONNECT: 9.0 secs, TIME TO PAIR: 4.46 secs, 
16:21:07, Iteration_20190612_16_19_19,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 10.57 secs, TIME TO CONNECT: 17.63 secs, TIME TO PAIR: 5.35 secs, 
